,Reference area,TIME_PERIOD,OBS_VALUE
774,Netherlands,1994-Q4,7.666667
2835,Italy,1994-Q4,11.13333
1801,Ireland,1994-Q4,13.46667
1802,Ireland,1995-Q1,12.7
5072,Mexico,1995-Q1,5.033333
2963,Austria,1995-Q1,3.933333
1462,Belgium,1995-Q1,9.666667
1120,Luxembourg,1995-Q1,2.866667
948,United Kingdom,1995-Q1,8.9
602,Denmark,1995-Q1,6.9
5848,Australia,1995-Q1,8.765343
60,Japan,1995-Q1,3.033333
1632,France,1995-Q1,10.33333
2701,Germany,1995-Q1,8.133333
1291,Sweden,1995-Q1,8.833333
4405,Finland,1995-Q1,15.1
2421,Norway,1995-Q1,5.933333
245,Canada,1995-Q1,9.633333
2115,New Zealand,1995-Q1,6.8
775,Netherlands,1995-Q1,8.1
2836,Italy,1995-Q1,11.23333
430,United States,1995-Q1,5.466667
2561,Korea,1995-Q1,2.133333
2275,Spain,1995-Q1,21.16667
3625,Portugal,1995-Q1,7.966667
2422,Norway,1995-Q2,5.533333
2702,Germany,1995-Q2,8.1
1121,Luxembourg,1995-Q2,2.8
1633,France,1995-Q2,10.43333
949,United Kingdom,1995-Q2,8.7
1803,Ireland,1995-Q2,12.23333
3626,Portugal,1995-Q2,7.9
5849,Australia,1995-Q2,8.364922
61,Japan,1995-Q2,3.066667
603,Denmark,1995-Q2,6.8
4406,Finland,1995-Q2,14.83333
2837,Italy,1995-Q2,11.1
1292,Sweden,1995-Q2,8.7
2116,New Zealand,1995-Q2,6.4
2276,Spain,1995-Q2,20.56667
776,Netherlands,1995-Q2,8.366667
2562,Korea,1995-Q2,2.033333
5073,Mexico,1995-Q2,6.433333
431,United States,1995-Q2,5.666667
1463,Belgium,1995-Q2,9.6
246,Canada,1995-Q2,9.5
2964,Austria,1995-Q2,4.1
4407,Finland,1995-Q3,15.0
5850,Australia,1995-Q3,8.370487
5074,Mexico,1995-Q3,7.033333
2563,Korea,1995-Q3,2.1
432,United States,1995-Q3,5.666667
2277,Spain,1995-Q3,20.8
950,United Kingdom,1995-Q3,8.6
1122,Luxembourg,1995-Q3,2.833333
777,Netherlands,1995-Q3,8.4
1293,Sweden,1995-Q3,8.666667
2838,Italy,1995-Q3,11.16667
1464,Belgium,1995-Q3,9.666667
2703,Germany,1995-Q3,8.266666
3627,Portugal,1995-Q3,7.8
604,Denmark,1995-Q3,6.7
247,Canada,1995-Q3,9.433333
2423,Norway,1995-Q3,5.266667
2965,Austria,1995-Q3,4.366667
62,Japan,1995-Q3,3.166667
2117,New Zealand,1995-Q3,6.2
1804,Ireland,1995-Q3,12.1
1634,France,1995-Q3,10.56667
605,Denmark,1995-Q4,6.633333
1294,Sweden,1995-Q4,8.966666
2839,Italy,1995-Q4,11.1
2564,Korea,1995-Q4,2.033333
63,Japan,1995-Q4,3.333333
2966,Austria,1995-Q4,4.566667
4408,Finland,1995-Q4,15.2
3628,Portugal,1995-Q4,8.0
1123,Luxembourg,1995-Q4,2.9
1805,Ireland,1995-Q4,12.1
1635,France,1995-Q4,10.7
1465,Belgium,1995-Q4,9.8
2278,Spain,1995-Q4,20.63333
248,Canada,1995-Q4,9.3
5851,Australia,1995-Q4,8.390849
433,United States,1995-Q4,5.566667
5075,Mexico,1995-Q4,6.533333
951,United Kingdom,1995-Q4,8.3
2118,New Zealand,1995-Q4,6.4
778,Netherlands,1995-Q4,8.333333
2424,Norway,1995-Q4,5.066667
2704,Germany,1995-Q4,8.433333
1806,Ireland,1996-Q1,12.0
249,Canada,1996-Q1,9.5
1466,Belgium,1996-Q1,9.866667
779,Netherlands,1996-Q1,8.1
1124,Luxembourg,1996-Q1,3.033333
434,United States,1996-Q1,5.533333
2565,Korea,1996-Q1,1.933333
606,Denmark,1996-Q1,6.666667
2425,Norway,1996-Q1,4.933333
2840,Italy,1996-Q1,11.0
1295,Sweden,1996-Q1,9.0
4409,Finland,1996-Q1,14.73333
2279,Spain,1996-Q1,20.33333
5852,Australia,1996-Q1,8.400038
64,Japan,1996-Q1,3.366667
3629,Portugal,1996-Q1,8.033334
2967,Austria,1996-Q1,4.766667
2119,New Zealand,1996-Q1,6.4
952,United Kingdom,1996-Q1,8.2
1636,France,1996-Q1,10.7
2705,Germany,1996-Q1,8.566667
5076,Mexico,1996-Q1,6.033333
1637,France,1996-Q2,10.9
2841,Italy,1996-Q2,11.3
4410,Finland,1996-Q2,14.4
2426,Norway,1996-Q2,4.833333
1467,Belgium,1996-Q2,9.666667
780,Netherlands,1996-Q2,7.8
250,Canada,1996-Q2,9.433333
435,United States,1996-Q2,5.5
2968,Austria,1996-Q2,4.8
2566,Korea,1996-Q2,2.033333
1125,Luxembourg,1996-Q2,3.066667
607,Denmark,1996-Q2,6.533333
1296,Sweden,1996-Q2,9.5
3630,Portugal,1996-Q2,8.166667
2706,Germany,1996-Q2,8.766666
1807,Ireland,1996-Q2,11.83333
2280,Spain,1996-Q2,20.13333
5853,Australia,1996-Q2,8.415771
953,United Kingdom,1996-Q2,8.3
5077,Mexico,1996-Q2,5.6
2120,New Zealand,1996-Q2,6.2
65,Japan,1996-Q2,3.4
2121,New Zealand,1996-Q3,6.5
2281,Spain,1996-Q3,19.86667
3631,Portugal,1996-Q3,7.933333
2707,Germany,1996-Q3,9.0
2969,Austria,1996-Q3,4.7
66,Japan,1996-Q3,3.333333
5078,Mexico,1996-Q3,5.366667
4411,Finland,1996-Q3,14.86667
1638,France,1996-Q3,10.9
781,Netherlands,1996-Q3,7.5
1126,Luxembourg,1996-Q3,2.833333
436,United States,1996-Q3,5.266667
954,United Kingdom,1996-Q3,8.1
1808,Ireland,1996-Q3,11.63333
608,Denmark,1996-Q3,6.266667
5854,Australia,1996-Q3,8.62252
251,Canada,1996-Q3,9.666667
1297,Sweden,1996-Q3,9.733334
1468,Belgium,1996-Q3,9.433333
2842,Italy,1996-Q3,11.1
2567,Korea,1996-Q3,2.033333
2427,Norway,1996-Q3,4.733333
252,Canada,1996-Q4,9.833333
2568,Korea,1996-Q4,2.2
4412,Finland,1996-Q4,14.2
609,Denmark,1996-Q4,5.8
1809,Ireland,1996-Q4,11.13333
2282,Spain,1996-Q4,19.3
437,United States,1996-Q4,5.333333
2428,Norway,1996-Q4,4.6
1639,France,1996-Q4,10.83333
2708,Germany,1996-Q4,9.3
2122,New Zealand,1996-Q4,6.2
1127,Luxembourg,1996-Q4,2.8
955,United Kingdom,1996-Q4,7.8
5079,Mexico,1996-Q4,4.833333
782,Netherlands,1996-Q4,7.2
3632,Portugal,1996-Q4,7.833333
2970,Austria,1996-Q4,4.6
5855,Australia,1996-Q4,8.620516
2843,Italy,1996-Q4,11.2
67,Japan,1996-Q4,3.366667
1298,Sweden,1996-Q4,9.933333
1469,Belgium,1996-Q4,9.233334
2844,Italy,1997-Q1,11.26667
783,Netherlands,1997-Q1,6.9
5856,Australia,1997-Q1,8.621316
1810,Ireland,1997-Q1,10.63333
2569,Korea,1997-Q1,2.666667
4413,Finland,1997-Q1,13.4
1470,Belgium,1997-Q1,9.1
2123,New Zealand,1997-Q1,6.7
610,Denmark,1997-Q1,5.466667
2971,Austria,1997-Q1,4.666667
438,United States,1997-Q1,5.233333
1128,Luxembourg,1997-Q1,2.633333
3633,Portugal,1997-Q1,7.833333
2429,Norway,1997-Q1,4.2
2709,Germany,1997-Q1,9.533334
68,Japan,1997-Q1,3.333333
1299,Sweden,1997-Q1,10.26667
253,Canada,1997-Q1,9.433333
2283,Spain,1997-Q1,18.7
5080,Mexico,1997-Q1,4.066667
1640,France,1997-Q1,10.9
956,United Kingdom,1997-Q1,7.3
69,Japan,1997-Q2,3.333333
5081,Mexico,1997-Q2,3.866667
5857,Australia,1997-Q2,8.482457
2570,Korea,1997-Q2,2.566667
2710,Germany,1997-Q2,9.7
611,Denmark,1997-Q2,5.233333
2845,Italy,1997-Q2,11.4
1811,Ireland,1997-Q2,10.2
2972,Austria,1997-Q2,4.7
1129,Luxembourg,1997-Q2,2.6
2430,Norway,1997-Q2,4.133333
4414,Finland,1997-Q2,12.96667
1300,Sweden,1997-Q2,10.3
784,Netherlands,1997-Q2,6.6
2124,New Zealand,1997-Q2,6.8
1641,France,1997-Q2,10.93333
957,United Kingdom,1997-Q2,7.2
1471,Belgium,1997-Q2,9.133333
2284,Spain,1997-Q2,18.7
254,Canada,1997-Q2,9.3
439,United States,1997-Q2,5.0
3634,Portugal,1997-Q2,7.433333
1642,France,1997-Q3,10.9
2571,Korea,1997-Q3,2.433333
1812,Ireland,1997-Q3,9.6
2125,New Zealand,1997-Q3,7.0
958,United Kingdom,1997-Q3,6.8
2846,Italy,1997-Q3,11.0
255,Canada,1997-Q3,8.866667
4415,Finland,1997-Q3,12.33333
2973,Austria,1997-Q3,4.8
612,Denmark,1997-Q3,5.166667
5082,Mexico,1997-Q3,3.666667
1301,Sweden,1997-Q3,9.733334
785,Netherlands,1997-Q3,6.3
70,Japan,1997-Q3,3.433333
1130,Luxembourg,1997-Q3,2.733333
440,United States,1997-Q3,4.866667
2711,Germany,1997-Q3,9.7
2285,Spain,1997-Q3,18.4
1472,Belgium,1997-Q3,9.3
2431,Norway,1997-Q3,3.833333
3635,Portugal,1997-Q3,7.566667
5858,Australia,1997-Q3,8.374417
2286,Spain,1997-Q4,17.8
5859,Australia,1997-Q4,7.97712
1302,Sweden,1997-Q4,9.133333
256,Canada,1997-Q4,8.766666
959,United Kingdom,1997-Q4,6.5
2432,Norway,1997-Q4,3.466667
71,Japan,1997-Q4,3.5
2712,Germany,1997-Q4,9.7
2572,Korea,1997-Q4,2.8
3636,Portugal,1997-Q4,7.2
613,Denmark,1997-Q4,5.1
1813,Ireland,1997-Q4,9.0
5083,Mexico,1997-Q4,3.266667
4416,Finland,1997-Q4,12.0
2847,Italy,1997-Q4,11.3
2974,Austria,1997-Q4,4.866667
1473,Belgium,1997-Q4,9.333333
2126,New Zealand,1997-Q4,7.0
1643,France,1997-Q4,10.83333
441,United States,1997-Q4,4.666667
1131,Luxembourg,1997-Q4,2.833333
786,Netherlands,1997-Q4,5.933333
1814,Ireland,1998-Q1,8.333333
2433,Norway,1998-Q1,3.266667
2713,Germany,1998-Q1,9.666667
257,Canada,1998-Q1,8.6
960,United Kingdom,1998-Q1,6.4
5860,Australia,1998-Q1,7.84089
5084,Mexico,1998-Q1,3.4
2975,Austria,1998-Q1,4.933333
1644,France,1998-Q1,10.73333
2287,Spain,1998-Q1,16.83333
3637,Portugal,1998-Q1,6.766667
2127,New Zealand,1998-Q1,7.4
1303,Sweden,1998-Q1,8.666667
787,Netherlands,1998-Q1,5.6
442,United States,1998-Q1,4.633333
4417,Finland,1998-Q1,11.73333
1474,Belgium,1998-Q1,9.433333
72,Japan,1998-Q1,3.666667
2573,Korea,1998-Q1,4.966667
614,Denmark,1998-Q1,4.966667
1132,Luxembourg,1998-Q1,2.8
2848,Italy,1998-Q1,11.1
1815,Ireland,1998-Q2,7.766667
1133,Luxembourg,1998-Q2,2.766667
1304,Sweden,1998-Q2,8.6
4418,Finland,1998-Q2,11.66667
3638,Portugal,1998-Q2,6.1
788,Netherlands,1998-Q2,5.3
961,United Kingdom,1998-Q2,6.3
2574,Korea,1998-Q2,7.033333
258,Canada,1998-Q2,8.333333
1475,Belgium,1998-Q2,9.433333
5085,Mexico,1998-Q2,3.233333
2288,Spain,1998-Q2,16.66667
2714,Germany,1998-Q2,9.5
73,Japan,1998-Q2,4.066667
615,Denmark,1998-Q2,4.866667
2849,Italy,1998-Q2,11.5
2976,Austria,1998-Q2,4.833333
5861,Australia,1998-Q2,7.73381
2128,New Zealand,1998-Q2,7.9
2434,Norway,1998-Q2,3.333333
1645,France,1998-Q2,10.7
443,United States,1998-Q2,4.4
616,Denmark,1998-Q3,4.866667
1476,Belgium,1998-Q3,9.366667
2575,Korea,1998-Q3,8.133333
5862,Australia,1998-Q3,7.788205
789,Netherlands,1998-Q3,5.0
2715,Germany,1998-Q3,9.3
2850,Italy,1998-Q3,11.3
3639,Portugal,1998-Q3,5.9
1646,France,1998-Q3,10.63333
2129,New Zealand,1998-Q3,7.7
1816,Ireland,1998-Q3,7.3
444,United States,1998-Q3,4.533333
1305,Sweden,1998-Q3,8.0
2977,Austria,1998-Q3,4.666667
259,Canada,1998-Q3,8.2
74,Japan,1998-Q3,4.266667
5086,Mexico,1998-Q3,3.2
2435,Norway,1998-Q3,3.0
2289,Spain,1998-Q3,16.43333
962,United Kingdom,1998-Q3,6.2
1134,Luxembourg,1998-Q3,2.633333
4419,Finland,1998-Q3,11.26667
963,United Kingdom,1998-Q4,6.1
445,United States,1998-Q4,4.433333
2576,Korea,1998-Q4,7.966667
2978,Austria,1998-Q4,4.4
617,Denmark,1998-Q4,4.833333
1306,Sweden,1998-Q4,7.466667
5087,Mexico,1998-Q4,3.066667
2290,Spain,1998-Q4,15.7
1647,France,1998-Q4,10.7
2436,Norway,1998-Q4,2.8
2851,Italy,1998-Q4,11.43333
3640,Portugal,1998-Q4,5.766667
2716,Germany,1998-Q4,9.066667
1135,Luxembourg,1998-Q4,2.5
75,Japan,1998-Q4,4.4
790,Netherlands,1998-Q4,4.7
2130,New Zealand,1998-Q4,7.9
1817,Ireland,1998-Q4,6.8
4420,Finland,1998-Q4,10.83333
260,Canada,1998-Q4,8.033334
1477,Belgium,1998-Q4,9.133333
5863,Australia,1998-Q4,7.374734
1136,Luxembourg,1999-Q1,2.4
618,Denmark,1999-Q1,5.0
2131,New Zealand,1999-Q1,7.5
2577,Korea,1999-Q1,7.4
261,Canada,1999-Q1,7.9
2979,Austria,1999-Q1,4.233333
2291,Spain,1999-Q1,14.33333
1478,Belgium,1999-Q1,8.966666
1818,Ireland,1999-Q1,6.366667
5088,Mexico,1999-Q1,2.8
2437,Norway,1999-Q1,2.766667
2717,Germany,1999-Q1,8.833333
1648,France,1999-Q1,10.73333
1307,Sweden,1999-Q1,7.1
2852,Italy,1999-Q1,11.1
3641,Portugal,1999-Q1,5.833333
964,United Kingdom,1999-Q1,6.2
4421,Finland,1999-Q1,10.6
5864,Australia,1999-Q1,7.082412
446,United States,1999-Q1,4.3
791,Netherlands,1999-Q1,4.5
76,Japan,1999-Q1,4.6
619,Denmark,1999-Q2,4.966667
792,Netherlands,1999-Q2,4.333333
2438,Norway,1999-Q2,2.866667
1479,Belgium,1999-Q2,8.9
2132,New Zealand,1999-Q2,7.3
5865,Australia,1999-Q2,6.886082
4422,Finland,1999-Q2,10.33333
2853,Italy,1999-Q2,11.06667
2718,Germany,1999-Q2,8.633333
5089,Mexico,1999-Q2,2.7
77,Japan,1999-Q2,4.733333
447,United States,1999-Q2,4.266667
262,Canada,1999-Q2,7.9
965,United Kingdom,1999-Q2,6.0
2292,Spain,1999-Q2,13.53333
3642,Portugal,1999-Q2,6.0
2980,Austria,1999-Q2,4.2
1649,France,1999-Q2,10.7
1137,Luxembourg,1999-Q2,2.4
5264,Korea,1999-Q2,7.0
1308,Sweden,1999-Q2,6.766667
1819,Ireland,1999-Q2,6.2
2578,Korea,1999-Q3,6.4
2981,Austria,1999-Q3,4.033333
966,United Kingdom,1999-Q3,5.9
448,United States,1999-Q3,4.233333
5090,Mexico,1999-Q3,2.366667
3643,Portugal,1999-Q3,5.633333
1820,Ireland,1999-Q3,5.566667
78,Japan,1999-Q3,4.7
5866,Australia,1999-Q3,6.874343
2133,New Zealand,1999-Q3,7.0
1138,Luxembourg,1999-Q3,2.4
2854,Italy,1999-Q3,10.93333
620,Denmark,1999-Q3,5.166667
2719,Germany,1999-Q3,8.466666
1650,France,1999-Q3,10.36667
2439,Norway,1999-Q3,3.133333
793,Netherlands,1999-Q3,4.166667
1309,Sweden,1999-Q3,6.633333
4423,Finland,1999-Q3,10.1
263,Canada,1999-Q3,7.5
1480,Belgium,1999-Q3,8.133333
2293,Spain,1999-Q3,13.46667
2294,Spain,1999-Q4,13.06667
967,United Kingdom,1999-Q4,5.8
3644,Portugal,1999-Q4,5.4
4424,Finland,1999-Q4,10.1
449,United States,1999-Q4,4.066667
621,Denmark,1999-Q4,5.3
79,Japan,1999-Q4,4.633333
1310,Sweden,1999-Q4,6.333333
2982,Austria,1999-Q4,4.1
1139,Luxembourg,1999-Q4,2.4
794,Netherlands,1999-Q4,4.033333
2440,Norway,1999-Q4,3.4
1651,France,1999-Q4,9.966666
2579,Korea,1999-Q4,5.266667
2134,New Zealand,1999-Q4,6.4
2855,Italy,1999-Q4,10.66667
1481,Belgium,1999-Q4,7.7
1821,Ireland,1999-Q4,5.533333
5091,Mexico,1999-Q4,2.366667
5867,Australia,1999-Q4,6.633913
2720,Germany,1999-Q4,8.3
264,Canada,1999-Q4,6.966667
1311,Sweden,2000-Q1,6.066667
1140,Luxembourg,2000-Q1,2.3
795,Netherlands,2000-Q1,3.866667
2295,Spain,2000-Q1,12.46667
1482,Belgium,2000-Q1,7.1
2441,Norway,2000-Q1,3.366667
5092,Mexico,2000-Q1,2.2
4425,Finland,2000-Q1,10.16667
450,United States,2000-Q1,4.033333
2580,Korea,2000-Q1,4.766667
2856,Italy,2000-Q1,10.56667
2135,New Zealand,2000-Q1,6.5
1822,Ireland,2000-Q1,4.8
2983,Austria,2000-Q1,4.233333
968,United Kingdom,2000-Q1,5.8
80,Japan,2000-Q1,4.833333
265,Canada,2000-Q1,6.866667
2721,Germany,2000-Q1,8.133333
1652,France,2000-Q1,9.633333
3645,Portugal,2000-Q1,5.433333
5868,Australia,2000-Q1,6.650461
622,Denmark,2000-Q1,4.666667
2296,Spain,2000-Q2,11.93333
2581,Korea,2000-Q2,4.366667
2136,New Zealand,2000-Q2,6.3
81,Japan,2000-Q2,4.7
2984,Austria,2000-Q2,3.7
4426,Finland,2000-Q2,9.8
623,Denmark,2000-Q2,4.433333
1823,Ireland,2000-Q2,4.6
2442,Norway,2000-Q2,3.066667
266,Canada,2000-Q2,6.666667
451,United States,2000-Q2,3.933333
5869,Australia,2000-Q2,6.302037
5093,Mexico,2000-Q2,2.745935
2722,Germany,2000-Q2,8.0
2857,Italy,2000-Q2,10.26667
969,United Kingdom,2000-Q2,5.5
1653,France,2000-Q2,9.3
1312,Sweden,2000-Q2,5.766667
1141,Luxembourg,2000-Q2,2.3
1483,Belgium,2000-Q2,6.8
3646,Portugal,2000-Q2,5.233333
796,Netherlands,2000-Q2,3.733333
2443,Norway,2000-Q3,3.233333
3647,Portugal,2000-Q3,5.366667
4427,Finland,2000-Q3,9.6
1824,Ireland,2000-Q3,4.233333
2985,Austria,2000-Q3,3.833333
82,Japan,2000-Q3,4.666667
1654,France,2000-Q3,9.0
2723,Germany,2000-Q3,7.9
2858,Italy,2000-Q3,9.966666
2137,New Zealand,2000-Q3,6.0
2297,Spain,2000-Q3,11.8
1313,Sweden,2000-Q3,5.433333
2582,Korea,2000-Q3,4.266667
624,Denmark,2000-Q3,4.1
5870,Australia,2000-Q3,5.989693
267,Canada,2000-Q3,6.9
1484,Belgium,2000-Q3,6.9
797,Netherlands,2000-Q3,3.566667
452,United States,2000-Q3,4.0
1142,Luxembourg,2000-Q3,2.2
5094,Mexico,2000-Q3,2.601958
970,United Kingdom,2000-Q3,5.3
1825,Ireland,2000-Q4,3.9
4428,Finland,2000-Q4,9.4
2859,Italy,2000-Q4,9.6
1655,France,2000-Q4,8.766666
2724,Germany,2000-Q4,7.766667
2986,Austria,2000-Q4,3.766667
971,United Kingdom,2000-Q4,5.2
268,Canada,2000-Q4,6.9
3648,Portugal,2000-Q4,5.066667
1143,Luxembourg,2000-Q4,2.066667
2138,New Zealand,2000-Q4,5.8
1314,Sweden,2000-Q4,5.1
83,Japan,2000-Q4,4.733333
2583,Korea,2000-Q4,4.2
798,Netherlands,2000-Q4,3.366667
2298,Spain,2000-Q4,11.46667
2444,Norway,2000-Q4,3.3
625,Denmark,2000-Q4,4.066667
1485,Belgium,2000-Q4,6.633333
453,United States,2000-Q4,3.9
5095,Mexico,2000-Q4,2.464741
5871,Australia,2000-Q4,6.172072
626,Denmark,2001-Q1,4.366667
799,Netherlands,2001-Q1,3.2
454,United States,2001-Q1,4.233333
2725,Germany,2001-Q1,7.666667
972,United Kingdom,2001-Q1,5.1
2299,Spain,2001-Q1,10.66667
1656,France,2001-Q1,8.566667
2987,Austria,2001-Q1,3.633333
2445,Norway,2001-Q1,3.333333
269,Canada,2001-Q1,7.0
4429,Finland,2001-Q1,9.266666
1486,Belgium,2001-Q1,6.066667
3649,Portugal,2001-Q1,5.266667
2139,New Zealand,2001-Q1,5.5
1144,Luxembourg,2001-Q1,1.9
5096,Mexico,2001-Q1,2.805978
2584,Korea,2001-Q1,4.566667
2860,Italy,2001-Q1,9.366667
5872,Australia,2001-Q1,6.36621
1315,Sweden,2001-Q1,6.0
84,Japan,2001-Q1,4.766667
1826,Ireland,2001-Q1,3.966667
2861,Italy,2001-Q2,9.133333
2446,Norway,2001-Q2,3.266667
2726,Germany,2001-Q2,7.666667
1827,Ireland,2001-Q2,4.0
2988,Austria,2001-Q2,4.0
800,Netherlands,2001-Q2,3.1
1657,France,2001-Q2,8.5
270,Canada,2001-Q2,7.1
627,Denmark,2001-Q2,4.333333
3650,Portugal,2001-Q2,5.4
85,Japan,2001-Q2,4.9
2585,Korea,2001-Q2,3.933333
2300,Spain,2001-Q2,10.5
455,United States,2001-Q2,4.4
4430,Finland,2001-Q2,9.1
1316,Sweden,2001-Q2,5.866667
2140,New Zealand,2001-Q2,5.4
5873,Australia,2001-Q2,6.869499
1487,Belgium,2001-Q2,6.5
1145,Luxembourg,2001-Q2,1.833333
5097,Mexico,2001-Q2,2.740413
973,United Kingdom,2001-Q2,5.0
1488,Belgium,2001-Q3,6.3
628,Denmark,2001-Q3,4.633333
2586,Korea,2001-Q3,3.733333
2447,Norway,2001-Q3,3.466667
2301,Spain,2001-Q3,10.53333
2862,Italy,2001-Q3,9.033334
271,Canada,2001-Q3,7.166667
1658,France,2001-Q3,8.4
5098,Mexico,2001-Q3,2.543731
2989,Austria,2001-Q3,4.1
1146,Luxembourg,2001-Q3,1.866667
86,Japan,2001-Q3,5.133333
2727,Germany,2001-Q3,7.833333
801,Netherlands,2001-Q3,3.1
1317,Sweden,2001-Q3,6.0
4431,Finland,2001-Q3,9.066667
3651,Portugal,2001-Q3,5.433333
5874,Australia,2001-Q3,6.86773
2141,New Zealand,2001-Q3,5.4
456,United States,2001-Q3,4.833333
1828,Ireland,2001-Q3,4.366667
974,United Kingdom,2001-Q3,5.1
2302,Spain,2001-Q4,10.6
5099,Mexico,2001-Q4,2.981952
1829,Ireland,2001-Q4,4.4
2990,Austria,2001-Q4,4.3
1489,Belgium,2001-Q4,7.4
2863,Italy,2001-Q4,8.866667
1659,France,2001-Q4,8.366667
5875,Australia,2001-Q4,6.979427
802,Netherlands,2001-Q4,3.133333
2728,Germany,2001-Q4,8.033334
4432,Finland,2001-Q4,9.1
87,Japan,2001-Q4,5.366667
1147,Luxembourg,2001-Q4,2.0
629,Denmark,2001-Q4,4.7
272,Canada,2001-Q4,7.633333
2448,Norway,2001-Q4,3.633333
1318,Sweden,2001-Q4,6.066667
2587,Korea,2001-Q4,3.633333
3652,Portugal,2001-Q4,5.4
975,United Kingdom,2001-Q4,5.2
2142,New Zealand,2001-Q4,5.6
457,United States,2001-Q4,5.5
976,United Kingdom,2002-Q1,5.2
2864,Italy,2002-Q1,8.533334
2729,Germany,2002-Q1,8.166667
2303,Spain,2002-Q1,11.26667
458,United States,2002-Q1,5.7
1660,France,2002-Q1,8.2
630,Denmark,2002-Q1,4.433333
88,Japan,2002-Q1,5.266667
4433,Finland,2002-Q1,9.1
1319,Sweden,2002-Q1,5.933333
2588,Korea,2002-Q1,3.5
273,Canada,2002-Q1,7.933333
5876,Australia,2002-Q1,6.627514
3653,Portugal,2002-Q1,5.633333
5100,Mexico,2002-Q1,3.139209
1490,Belgium,2002-Q1,7.333333
2991,Austria,2002-Q1,4.5
2449,Norway,2002-Q1,3.7
1830,Ireland,2002-Q1,4.533333
2143,New Zealand,2002-Q1,5.3
803,Netherlands,2002-Q1,3.3
1148,Luxembourg,2002-Q1,2.2
1320,Sweden,2002-Q2,5.933333
5101,Mexico,2002-Q2,3.073558
274,Canada,2002-Q2,7.7
1491,Belgium,2002-Q2,7.3
89,Japan,2002-Q2,5.4
2304,Spain,2002-Q2,11.26667
631,Denmark,2002-Q2,4.4
2589,Korea,2002-Q2,3.266667
1149,Luxembourg,2002-Q2,2.4
1831,Ireland,2002-Q2,4.633333
2730,Germany,2002-Q2,8.4
1661,France,2002-Q2,8.2
